ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Label
55,-0.051659353721484155,-0.00876919414927546,0.3536461172528577,0.10776855321250967,0.0705160813877975,0.0903183556206254,0.04231986175928617,0.08514795801866358,0.04342444140496449,0.11786529065367186,1
176,0.06427993409218885,0.010669187880859663,-0.042542033200761366,-0.12942776341288753,-0.08660222587104985,-0.027723927729263458,-0.011595210356767156,0.026654366721411277,-0.007047898853751354,-0.04559686808732614,2
79,-0.12096866246143184,0.23775963655659266,-0.10170652265878238,0.15034468333431925,-0.013690053759477312,0.06697597196547966,0.052507025667332126,0.07953652387452703,0.028740872395439328,-0.02596698136989404,1
101,-1.758924802063014e-05,-0.02664972864856118,-0.08979875488797665,-0.22108200321533764,0.07716681045583985,0.04286832554793744,0.26242955982377386,-0.24044502314938615,0.38270740104966683,0.03218287854913479,2
159,0.035622568012016874,0.0034342651476984907,-0.04465174935160207,-0.10102732431795952,-0.02154434677388839,-0.009362355362843832,0.0474765946168014,-0.0008541250675138182,0.07088147893846228,0.03409880661749754,2
186,0.20083239203297923,-0.06669188879648472,-0.11318497650173466,0.003426211998689047,-0.0023381593519681385,-0.01149054806537424,0.20576103848693292,0.2788051846280545,-0.13809793823771074,-0.05675536334042135,2
17,-0.05719542022112005,-0.029686545769274163,0.08275496731634163,-0.0130333592232974,0.02080357776375986,-0.031485798182958935,-0.03895547105410322,-0.0202552529975451,-0.031592105730514596,-0.02330746999981869,1
44,-0.22314904192561777,0.4283779708970048,-0.2577168813531001,0.2127383819292337,0.02254600112418014,0.04559012025798284,-0.028022554216963466,-0.042771949997987446,0.05798476175713712,-0.04731011780632812,1
74,-0.46745468430809245,-0.41676211992064943,-0.11425416135451368,0.08759217767783271,-0.13904299992432087,0.03667317213747781,0.027497896937169215,0.02732256738030479,-0.00036668392967712085,-0.027438471273152323,1
58,-0.20615563509038234,-0.11422155704365321,-0.09360364710865722,-0.1154381068623755,0.6496322896132173,-0.16846786226151234,-0.23440236404176137,0.18281266799947865,-0.004495563760167432,-0.0794180271175493,1
76,-0.027162752312370184,0.16230610291259864,-0.05007991761382296,0.06565841170711118,-0.0555330663544779,-0.03464740661458946,-0.009969173939892538,-0.06967486300003838,-0.0086315514644267,-0.13180462696714523,1
28,-0.061182868978342186,0.05170601129973761,0.2748885760345263,0.10225950499096435,0.06019970848971958,0.09085382632678977,0.027266307894729044,0.06428500071530202,0.03961518120540857,0.06707434026586177,1
102,0.08470724434818673,-0.02118185021495688,-0.01716287056085366,-0.08336209477879955,-0.04141025489653272,-0.10581476811851863,-0.026800677782954616,-0.13930838031881668,-0.17826655355668541,-0.2814591603935795,2
132,0.20644995572344033,-0.06399130047062551,-0.061044456374924075,0.04537897505003447,-0.05264027406463501,-0.023643956642221,0.11237545475804775,0.2372884823918197,-0.06646743774972301,-0.11583018710209796,2
164,0.0676951593908758,0.0001892352544382844,-0.009464171002975596,-0.09748824757565366,-0.04608459392818095,-0.06828251008089056,-0.010127081603378755,-0.04435775634833985,-0.052278147313954186,-0.11257443254957235,2
8,-0.03938189888293413,-0.009265135846169743,0.3265838537017722,0.11351491258260764,0.061721520345937704,0.08966487442530835,0.03933669406662211,0.054910028166814374,0.060104188002411255,0.04069685004691839,1
14,0.03380194162241649,-0.0014876218849225963,0.4203049804358022,0.13834300294882015,0.02062235599449953,0.094508970556034,0.039960508300667004,0.05726552376111313,0.051249495256204924,-0.017836248281366065,1
95,-0.12641237861531024,0.05732823086955937,0.05849188745605644,0.03563624690119053,-0.0012112670510201738,-0.009352459259021175,-0.056732983530788275,-0.0600708412344846,-0.03345226745299603,-0.003524836376384063,1
9,-0.006432471134520692,0.03150406418526051,0.3920347942417864,0.13137986157961162,-0.003588268281793236,0.07116053208503262,-0.000830836428902318,0.07278334894955528,0.015382973842447788,0.00083321698769787,1
125,0.011334233971746004,0.016188741459960736,-0.0471460570042195,-0.1178785310490887,0.08074903836611311,-0.022946193681172875,0.03792446528071357,-0.1202036897773427,0.012623665735988695,0.07851044813324182,2
91,0.037027945385735346,0.006456865675945658,0.1338969760560336,-0.0025204828019241825,-0.03761943420179492,-0.043626982538010485,-0.03581182533929185,-0.04593503918383609,-0.0612078647667529,-0.06674941989606487,1
65,-0.18319283816039617,-0.1275744201619218,-0.09181270755630766,-0.13041524068818514,0.6237640376269862,-0.1702715597742046,-0.23145141187880877,0.17099563709904114,0.002980170485432845,-0.08343601211555028,1
194,0.06499922131533745,-0.0007046977816351329,-0.0027542334054981537,-0.07516034338380426,-0.0544183293433075,-0.05358796864961595,0.006867462758623258,0.008334993282513808,0.009281164273641325,-0.1433335056318965,2
160,0.04451764759593952,0.005328275599692384,-0.05082964906567217,-0.1403383259129233,-0.011958799973200061,0.071518575262997,-0.02014833110627391,-0.02542910783658877,0.009961370342039122,0.018645879926066367,2
192,0.05575801858675042,0.0021315871260201035,0.0003903165301566703,-0.10939942746195318,-0.09399966434447009,-0.12496060304368739,-0.05161645074005331,-0.058635319919586544,-0.05986275451954979,-0.084315988777069,2
16,-0.19344676198565525,0.38836801513193214,-0.16141170369216576,0.22274864177955056,-0.024416919315728806,0.03719801246530858,-0.05204606234397834,0.015496378822464088,0.02862593528517096,-0.0830745835772103,1
80,-0.054236199885507465,0.0014579832666237603,0.3362210631104088,0.049523361486239856,0.12101945505987498,0.044109541645115366,-0.02317490114115997,0.0185784162785969,0.03363854559802382,0.0628265579144715,1
