ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,Label
55,-0.05169662292923044,-0.008768767114869996,0.35399842884489086,0.10770384976359061,0.07273949581182838,0.09040709295967565,0.045152122353768524,0.10794051717430501,0.01087704119780898,0.10808358246450189,0.03487006915854617,-0.1281202742897188,0.044580355822513185,0.029196449756805062,0.10115952239374214,0.03674551780051567,0.0048889439395194845,0.03472915612108774,-0.10028873058709653,0.016233838977395332,0.09719510192547258,-0.07067607724306377,0.03737057330128796,-0.07367538269658368,-0.024763680051023175,-0.09701919256597481,-0.026558206782152146,0.02549076438942159,0.016735914680324766,0.007125956810706128,0.05958602940299428,-0.03042778069302491,0.015095891237756273,-0.03675558468316533,-0.0062800185012011,0.05498428415767255,-0.06326596551917231,0.035807292437339745,0.14608807272615332,-0.07123968710893791,0.18937021757113756,0.10011271079948039,-0.00021908543625665354,-0.021851891442320404,-0.011924773976971883,-0.03197386189411904,-0.06730245702310812,0.11650241213324122,-0.14167228337360854,-0.08039946223718218,0.1438035888337032,0.16929603975697624,-0.06023851869319155,0.002925121109648101,0.15513827245732495,0.018471902588427076,0.010452007236644554,0.05243108635921328,0.04342989795627881,-0.03367751088529726,-0.021605626595319952,-0.04654694449754385,0.03590058464078611,-0.10264033092729248,-0.01915184181849169,-0.05814993151858819,-0.03293186022169507,0.07469464615845599,-0.11189925835585089,0.056404790408835885,-0.02146075503837213,0.06143399003879741,0.08425714598265606,0.16356339891665003,-0.0022476996998337466,0.07514596616215205,0.035281736756407014,-0.0308166881951497,0.04588148868460636,-0.0007452095985599562,-0.03650083107772171,-0.10026587232742647,-0.08030939696276085,0.1751757017252383,0.017737988207012525,0.05024431003057029,0.009920585346044194,-0.022564827794731283,-0.06539841776864219,0.03596757084874816,0.022995663318610787,-0.054018613575147936,0.07714097245515728,0.0877779044492246,-0.030684906479089336,-0.1196201073051078,-0.07910672539639253,-0.034373627892410406,-0.06636946372026868,0.016328242873126578,1
176,0.06427880599244941,0.010480768450235678,-0.04230982079301442,-0.12909617753239716,-0.08452750237038263,-0.02822223594584881,-0.008155364469847727,0.020255367564116986,0.018144050723254587,-0.05275057892769466,0.008172101835920584,-0.09299732663312364,0.06216099389549753,0.01771498061983805,0.057486543055085146,-0.1844016383072519,-0.26712674798998726,0.06546402877341412,0.3553245915728165,-0.15869972481642328,0.33774702378402366,-0.1372950753063495,-0.06268351935957489,-0.21204983791895188,-0.08999672826898993,0.17271234036173672,0.2383788575295702,0.09389652680311755,0.0026307750746138252,-0.06323688420246701,0.035106515023718664,0.033371515470705757,0.10074518283527903,0.11344123578912521,-0.12646340960324598,-0.04802106061796616,-0.01733939568233659,0.03220100627019776,0.029259509819276792,0.06132868890329938,-0.010036560521155908,-0.01573176270677762,0.047017915616719676,-0.01182861055630735,-0.0010186128335118246,0.0033153379247670323,-0.019184883670206994,-0.04996672618389811,0.0327874126494797,0.02351037153124277,0.0023450659304368347,0.02858954905097672,0.02422522021137447,0.006279908679400516,0.01857601441766446,0.01716455728988794,0.029902795478999544,0.04314819851248426,0.04393928859077444,-0.03560268921539733,-0.018469130538202243,-0.05424033581924018,-0.008474153004368167,0.02851179710236045,0.010980784285192485,0.03656156934950295,0.02516447536954637,0.051173760983880406,-0.008551925986774227,0.01075324643542042,0.01869453734967617,-0.041816531812498794,-0.008226267709816456,0.04091014968613206,0.02680822520491079,0.010642400700806394,0.001001695016155633,-0.03427615411982108,0.03525546750728285,-0.023343959302700994,0.03514228143888632,0.029063899914098502,-0.011128852453978341,-0.017613595624987023,-0.009209252680886446,-0.01425861149266479,0.003390109120235852,0.0066628853500817495,-0.02055270498027337,-0.029558564514269928,0.03353141891705507,0.030314928279688784,-0.016228200679151473,0.01411421523613669,-0.025116593000269537,0.03482126017933468,0.005377842246643098,-0.0032211054669583654,-0.03156944619813662,0.02232825475665997,2
79,-0.12094480676079454,0.23764388022856783,-0.10200697336283598,0.15068315640662364,-0.013504198155869134,0.06410584860106448,0.05101331949871471,0.07082022710355826,0.044597839120710546,-0.058289518362161105,-0.059595934693043,0.001404414099538849,0.0016632204240825017,0.007640065420408454,-0.029472730561116843,0.03068783015523467,-0.05134036146342815,0.0043010084400675564,-0.00572125419817529,-0.0012398121521835636,0.01687045048207922,0.20761013873785983,-0.1417970823296455,-0.20091101313849283,0.09638360420759062,0.020956172750976946,0.03465888519571865,-0.08470085554705019,-0.07828189234627163,0.07061231700404909,0.017498108845882397,-0.16233423082180032,0.03391300555369738,-0.14233214679886813,0.031704666516083044,-0.0046477647796749535,0.2943570151977516,0.12693409835022598,-0.25480165433820173,0.1579116834840497,-0.014232600932777985,0.1769176673885192,0.07934561987075335,0.03138614767914038,0.11067843189060164,-0.012617413802278214,0.056197874072570424,0.0034641499066004155,-0.02028464191214644,-0.01757857926328537,-0.02534916232967976,0.07440219863925432,-0.09242324083730268,-0.004913503372946628,0.01870198385545419,-0.05099064397403727,0.0008487634348310278,-0.04217128581992448,0.01652133209671863,-0.03585040488901296,-0.04370510231973652,-0.031050873909547916,0.036450288699616064,-0.009346778887493442,0.04859414503013241,-0.03146808544520081,0.11988945669252128,-0.026970465085341445,-0.036487223351963055,-0.055661099630971315,0.04640283422525543,-0.07474129015080083,-0.028498130800687478,-0.048547785367690936,-0.003587717884902433,-0.04995022657313272,-0.08714285155779393,0.033455740666510275,-0.06995781199178888,-0.010791951247132949,-0.004455429588423522,-0.047875133103557836,-0.05937556228533428,0.07029160803842302,-0.06860484613551118,0.008820866053522908,0.057282817938910296,-0.06311197923280258,0.041325509036647494,-0.02133322840175797,0.02230204667488757,0.037737738997967826,-0.008302608205694237,0.07548685075722175,-0.031143735046576,0.019275939844996044,0.08028061974963048,0.015130720625098867,0.05985293020867652,0.08470377032306914,1
101,4.0308271441509685e-05,-0.02699207827619131,-0.08953997983243148,-0.22059708063602187,0.07839023857224872,0.04472085069273063,0.27091985012084574,0.045582568183884994,-0.4447180496982637,-0.029054109621523733,-0.04663557613613612,0.00959687794789608,-0.06269570342497333,-0.35295408789987587,0.2124541804641949,0.4527863385967151,-0.2243817703641578,0.21918470380890184,0.12641439624703965,0.014382588281606282,-0.062373065738008264,0.043559920725458605,0.09211501706422372,0.055624484803063846,-0.013655243688105837,-0.029661380659591865,-0.007039987310484045,0.03701859158703508,-0.0016204802609264307,0.0007705242498403855,-0.0523527710721535,-0.011373005712811867,0.023396964185548846,0.021640330258678665,-0.013171833501460357,-0.005754336808002325,-0.02909175356871175,-0.004006790837719355,-0.04927161032666143,-0.02861623241219952,-0.01150831529039841,-0.01905067789341316,0.002493376157345825,-0.035183584403707224,-0.016981010614967755,0.029364922304236023,-0.06023241503018778,0.0005766249650816488,0.006638341566498057,-0.012054302137133434,-0.0196522756277424,0.002158314260113282,-0.03432887699297569,-0.017977188805388365,0.01300012818841189,-0.0390826009392957,-0.04215336912992446,0.011129807376768674,0.008737720446245536,0.004997446594257815,0.0019381017877499096,-0.0033243042392103973,-0.02181921499334701,-0.008641143405850196,0.014783605806520248,-0.0006348404001943255,0.008221388860804809,-0.009460521464754727,0.012202277514105363,0.016501509403209824,0.012852231288368841,0.008552428430448998,0.008551255378508645,0.016853351476931542,-0.016986308725801983,-0.02030128943797924,-0.008386426975309466,0.02427538688341491,0.00015606295327249702,0.0036558099538822786,-0.0061157050460444356,-0.020700542261888603,-0.0002065490053651296,-0.008195485243189932,-0.008821328460623484,-0.008612024814989076,0.009872462948744444,0.0002647528071570789,0.017689157417556983,0.005757935256500043,0.019769459993953197,0.0012579458955476845,-0.0013053096875161021,0.005776590009511617,-0.0007707803637908205,0.0003604095011392764,-0.006089500505011016,-0.014388150320184378,-0.0008032548549088314,-0.0012345152560917917,2
159,0.0356429963415459,0.003374498599944741,-0.04485683528123234,-0.10095920391058073,-0.02277701874972252,-0.008821082246559564,0.04647820732614423,0.038080039487283376,-0.05433383402357165,0.0339525460781814,0.019516306747512983,0.01593125485106697,0.042215748583847176,-0.061631460209491985,-0.012500179662686735,-0.03081003176542435,-0.07380458975905346,0.08076410808146185,0.1353699897590111,-0.0024678278535360653,-0.08838394980501554,0.0316451280574762,0.004023249784304461,0.10401705343179467,0.04035436088556237,-0.11570098080580478,-0.007717865062658317,0.034415401416677635,-0.061974274341457185,-0.004928354401237807,0.012187021776317478,-0.01715191421704933,-0.1506715751016818,-0.0558315881046389,0.11469571843617568,-0.08689746910621104,-0.013403135718557928,0.11463760904723083,0.042628762966248304,0.06114491294859828,-0.02644445461029398,-0.012418838989200234,-0.07539234492644245,-0.1514010109177509,0.1539190192317432,-0.20913682426007282,0.17082174682251847,0.2262235325470766,0.017738628879399372,0.08064420913518824,0.040611113158333226,-0.09122149157374984,0.17817689458912503,0.16886623982422558,0.08194172604454712,0.20437447731823588,0.052372647902480286,-0.10616535456797781,-0.11764109027540152,-0.04079860523215051,0.11762408064095158,-0.0755057731830916,0.16712510544295314,-0.08032955695823489,-0.15252474495875357,-0.09720703201936351,-0.13371018290625178,0.0308001684098901,-0.10088017717420733,0.09631180964138748,-0.22076925362603178,-0.10185898593848568,-0.11299383081750132,-0.15032996954268424,0.07559267706886698,0.04611751809702977,-0.11405352034663281,-0.13168434633949738,-0.024218558180436986,0.002381900410728548,0.0933850259837157,0.046224744482376796,-0.11618470510300273,0.02469015361594385,0.12978331421124106,-0.12739417410728043,-0.10410296355237782,0.005660515405817422,-0.12569492203165092,0.07626916479204063,-0.0307527222190186,0.05589023051318321,0.035874275248509724,0.04350531053800923,0.026943457156797204,0.05955720575233075,-0.0259126928290203,-0.03165618341041393,-0.04230887932701834,0.002160148004013465,2
186,0.2008323628465526,-0.0665000518390734,-0.11316601463527229,0.00325036943013365,-0.002787754210150346,-0.009416078533447707,0.20409775724496246,0.12444463954809375,0.2805775276692445,-0.036610313646913195,0.027869945165495662,0.16071013353766145,0.018170599417675664,-0.0286499784663121,0.1708143060156364,-0.04347669929717016,0.005066446911390467,0.09501156898128593,-0.0847600151308542,0.0455764942654353,0.06080808994647362,-0.0488314702381815,0.06875323095487666,0.054225412245189265,-0.025800566486764445,-0.04186106126714461,0.02085276743774083,-0.07800021251692646,0.03356250095634076,-0.026103285397257394,-0.07374725592315053,0.14250597028945755,0.030796863544266164,0.14166592293895558,-0.02104538046381964,0.002978565859063247,-0.06255126942659198,-0.04148764765109904,-0.12333931297591072,-0.02872251338952292,0.08313920833558679,-0.05578198303509725,0.054620362821833794,0.11058763211366358,-0.007814071663249548,-0.016289987715210126,0.01259331824855545,-0.0628230991303289,-0.03415508031950081,0.0731992172192922,-0.005979466679740814,0.16976776794875323,0.05011100082543072,0.01557714472243842,-0.05092931780169863,0.017666956187127044,0.059159807105333,0.00010922258107477741,0.015082856187262433,0.0764643379961322,0.04766295755148053,-0.0014939701165464358,0.034808797070524124,-0.024044373640282037,-0.12504422708905025,-0.1371568773715858,-0.015041788766479554,-0.1750225837925633,-0.046058533820644586,-0.027609155696194928,0.15512470991067673,-0.08175380480349982,0.02131296938204801,-0.08277324622179334,0.1387043245381434,-0.09599524795822253,0.18888645656674424,-0.07456662614931207,-0.07289919620398945,-0.19432389507363443,-0.05527881114080583,0.050410307488432664,-0.09468155989383334,0.07523807605868346,0.1206739913991654,-0.044047835909346626,0.0374543909887661,-0.01869715619131186,0.03748343782649538,-0.014180421412492853,0.043250519373024335,0.046518375205914494,-0.05293408540910821,0.12456969286364133,0.11516299442576865,0.008355277710437398,-0.019785638539852025,0.030858040725584773,0.031085004035635654,0.018512384311925614,2
17,-0.05722461842230139,-0.02948140085880547,0.08355386529100679,-0.013674812617222412,0.022573794215428284,-0.027958805988211967,-0.034208062646827284,-0.01656521570282002,-0.003583978169812255,0.003571854124353193,-0.0002944856400695821,-0.09180716518296687,0.009226387269040012,-0.05450030734465171,0.2902163056775629,-0.13260048535165023,-0.025185220921919795,-0.25932951995094594,-0.025908631539031918,-0.152120660072216,-0.17482876100529487,0.14024789413474767,0.2681912337657471,0.21108131163436647,0.19472716586135375,0.20620179213556108,0.318748139993493,-0.10783460761733675,-0.03328042503936185,-0.13915615309875118,0.07377917311231219,0.006623238434313868,0.014407018479814545,-0.0950781686984123,0.051425371944017535,0.03019061132654658,0.034771158332414016,-0.07008004268432452,0.04126306313201504,-0.01488135876770915,0.020789220324344403,0.10460843413797782,-0.025236491630316223,0.005418411251055561,0.0193534063572609,-0.018253593687196933,-0.0008872608386616727,-0.016565049126030656,-0.008940603542972698,-0.04627847194763961,-0.009282219220908619,-0.015721094077471746,-0.010074705127112248,-0.015107411864363322,-0.0087184426205025,0.04508726086501354,-0.03197084181044882,-0.051440229159900264,-0.0017174057240776097,-0.02376289572932966,0.005882229633067642,0.019658412801735515,0.031606079976722254,-0.03549874104229659,0.052286718254438466,-0.021666077301616463,-0.04103553407206855,-0.010965201561720343,-0.03544091400563064,0.024769305862766607,0.021046028633296507,-0.031228191897985282,0.013865645130532045,-0.05121894846420219,-0.0014782435396419838,-0.03391231095761607,-0.03495723117731477,-0.010553774898769006,0.04790270792131678,-0.03001876634206385,-0.03766244942106741,0.03395137133560159,-0.02110058213160873,-0.015245065031306347,-0.04753726688647149,-0.02304224012859782,-0.01109580949550821,0.014314440211812707,0.060331775547579694,0.026252560016427225,0.055422237924942684,0.0029029163994737386,-0.009029429543921644,-0.04768989997620455,-0.02413636369031758,0.05401299655610892,-0.050195853152901954,0.00890154437197934,0.018944263311736785,-0.01820408763941277,1
44,-0.22316631140302937,0.4285139869026252,-0.2574902094194024,0.21252810990144533,0.024106630318547474,0.046125595046772404,-0.02463612139807607,0.013876708933079513,-0.07974340120052067,-0.049845108631248296,-0.10526306424483757,0.005771803878523339,-0.042253072696623956,0.05421151254303666,0.04273698026587737,0.012102489786249492,0.10442470483510298,0.02949812730408639,0.011818882846224213,-0.0003526818994534386,-0.020620709450971993,-0.19267964404941498,0.07717625255950801,0.056023319683447585,-0.03222746512988222,0.02645151715016939,0.007046504742643694,0.0752056449382208,-0.07325448865368042,-0.023570687788449566,-0.025892012060929354,-0.04130843893214135,0.014540687840399543,0.006554305657715311,0.004834598883616459,0.0031433856079580744,0.0509856067811007,-0.04968121040462781,-0.01331245610912289,-0.018634213598237682,0.041193300871482645,-0.027668385356485303,-0.004339345494748437,0.056657725882483995,0.04284352584716918,-0.011076576412172547,-0.008295492449200215,0.0018950569370650503,0.019645321489145634,-0.012443610960068616,0.018043705383254446,0.12175381802960934,-0.06420665439652425,0.01853124349337138,0.004646998731583586,0.08194942967298474,-0.006702189485168903,0.04130118103699357,-0.09203197414459341,0.030327755185483727,-0.01570795153127587,0.03509112451355422,0.06479994881583319,0.10589962682887494,-0.023035230758816822,-0.034433511450953344,0.02398513104539877,0.051169936891327504,0.006431864498645624,0.006316029773818687,-0.0023085278536023744,0.054149651921890946,0.029722011701359317,-0.0760212382323053,-0.029034996072020324,0.010071651291149033,0.058034546521405966,-0.003112195401127831,-0.012844930208861929,-0.02788157793750412,0.022419829285671385,-0.025197542650084906,0.0305731876531074,0.07772040075833646,-0.009596054432474846,-0.017485500424798458,-0.032219483849450295,-0.021486119548318083,-0.01561882708773284,0.019077527533094274,-0.02299976329403803,-0.04844975969675319,0.02361731603645546,0.013441465555235826,-0.07373361471213888,0.06978025285909842,0.03310456792080342,0.020881971742371185,-0.01040808689062692,0.05485744771935733,1
74,-0.4674518631276818,-0.4168145252744953,-0.11427758920669176,0.08762052658403419,-0.13929794218600894,0.036341883769443306,0.026748292126111437,0.018150401808282417,0.02061747525779001,-0.032077359700899456,-0.04207116671348651,0.0147701709442577,-0.013207365633353663,0.03289372508410232,-0.09212123366877582,-0.009445110792078534,0.02222093704757291,0.006888867874777983,-0.005106899283647194,0.023746548531823165,0.014324779399293355,-0.015226209839462242,-0.052620549748861004,-0.01827171171246123,0.020101525047988438,-0.010901645532332336,0.023948847143797795,-0.010475830664729912,0.036539278886593494,-0.016342097840963608,-0.0011053274621348561,-0.06187881879538697,-0.05434861396106336,0.015700738754254494,-0.02912150588659522,0.07089121625278968,-0.040424791353190846,0.11488043894889087,-0.04306591566656354,-0.014487381579842556,-0.012120181562543129,-0.07199227320405858,0.029221587867958553,-0.024659243964052554,0.060440889248518974,-0.07222042501813924,0.006465939034530562,0.02448685592967802,0.02645964916060119,0.002181925766520803,-0.015134264641899839,0.02875709363885556,-0.03098567751624653,-0.0733099111353522,-0.023885981430326216,0.002922109761155467,-0.05604594466392377,-0.015667209766935773,-0.03085957536764981,0.06831891240935409,-0.05679122498892018,-0.04489105349781808,-0.030849661433734167,-0.01047302676122097,-0.006628760954394028,0.040442586860179895,0.01308721867448031,0.009225580062299758,-0.02806635711749833,-0.011411959938604312,-0.060362842217375166,-0.03550156934791828,-0.020062297555552708,-0.012680732871938823,-0.023814736407454063,0.0326990360802248,-0.0016723641417714593,-0.05784815199104064,0.00895332207980219,-0.01100015879281358,-0.03127580256658626,-0.07948344728926925,0.0702654706670273,-0.03700980112901001,0.11626692729854823,-0.02545172288423523,0.012645317158628282,-0.06629433250476134,-0.0013215802050325343,0.06406059357611787,0.02580377979346143,-0.04382205166899803,-0.06576754186923339,-0.0882014208102549,-0.0036140985997350074,0.047821596607254546,-0.07460215289347526,0.022731786964745194,-0.03324422915843245,-0.04310942246602772,1
58,-0.20612742887741126,-0.11421888663887066,-0.09377476288675181,-0.1153598534589714,0.6483312537613756,-0.16770743059029145,-0.2353296537363694,0.12441247411778257,0.1291757429281577,-0.09122567669427932,-0.03368270123743025,0.02954339651669129,-0.019285430811451124,-0.048767777794536143,-0.12503041917734461,0.022124097975213565,-0.04306395804880462,0.0061492372650176486,0.026252552787383764,0.03210104971088348,0.025047322752137578,-0.023452957060525952,0.01612735279808572,0.00297891419826368,0.006689399220940321,-0.008140634391962722,0.007433786547147476,-0.01980412299908621,-0.07793864022115372,-0.006326697856672932,0.021424137651839547,0.13904114757418987,0.016607894017877455,-0.15161978916711158,-0.08201466045725923,-0.041537705320548776,-0.02267775233883321,-0.008391405896112163,-0.02463815004428911,-0.00369689140166087,0.0005092509621592885,-0.004912972796374104,0.014316372859386315,-0.009640436919620717,-0.0025006167946356353,-0.016308105853629976,-0.011043574586972985,-0.007399320381139071,-0.0005042789508517353,-0.01774307099199737,0.0017931697095895614,-0.017819670243050388,-0.013032826726277058,0.009449568081721052,0.01652979953659943,0.0027960634951235876,0.00014720338592988792,-0.019981962942308744,0.004828543939744305,0.016542057768423785,-0.0010089277050198033,0.008450083262245618,-0.029268637720281925,-0.007864361453319356,-0.0024757588771064025,-0.021940289163775207,0.0033564257458385616,-0.0008179053352035589,-0.022526187591698187,-0.025131274371816545,-0.014036779153929596,0.012679892161704493,-0.018942724631693646,0.005672329314530941,-0.004840214607958151,0.0006463000741389655,-0.002747373130001798,-0.022134776369617845,-0.0017191299285796882,-0.016197174790470437,-0.0026239368965783392,-0.02111238409221793,0.007572524500214634,-0.014657836481555962,0.02229711529756786,0.016660926604417654,-0.021945062942659927,-0.012834024805183523,0.012893932840192577,0.004457480676570592,-0.0030614320464719745,0.003973203600793874,0.010416232600730563,-0.027714025227201303,0.002360837670118024,0.013057611414158324,0.0009898071742371853,-0.024595731971595296,-0.02650689527344072,-0.002141632209030487,1
