ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Label
55,-0.05184170618730205,-0.008741216084557657,0.35311804696415255,0.1077741659260605,0.07431938333495397,0.08992348177467861,0.041468856945669645,0.11136361882479046,0.004759815060848489,0.09809446781144973,0.030307232781006485,-0.1403018785098772,0.06261039091377545,0.027315912284782085,0.09905611186735631,0.06684288951697737,0.03019777532143389,-0.019968140083363176,0.05607610907164477,-0.038615901138082144,1
176,0.0648340393517079,0.010864409543272245,-0.04034059930456294,-0.13121536430078945,-0.08142810321373432,-0.026134481904683995,-0.0005379461098508062,0.012619797587522982,0.014301032448811504,-0.05511787642306092,0.006614757612152386,-0.129135139736986,0.09250428839938213,0.003314456506990588,0.16670207037461546,-0.11121209753444392,-0.07130251968530378,0.15087271948283806,-0.04211827146095857,-0.1446135878235341,2
79,-0.12098402568297487,0.23903761364812706,-0.09988024825360568,0.15055268286303797,-0.02350841678582084,0.06968620187019901,0.0526571061467014,0.07151753775151266,0.02799218246568012,-0.045072322816039026,-0.059839096537944045,0.004829477653441339,-0.017526636545330206,0.04296954086820199,-0.00153907663340098,0.010961658049649844,-0.07989439611327362,0.003101400523854498,0.04293325143747478,0.01436858007338406,1
101,0.00022561414811708526,-0.027772483086564947,-0.08793118634750556,-0.22135847725278973,0.07350758807862262,0.05303379472823664,0.27622137284006243,-0.03103683086468902,-0.4448849614144518,-0.03245425460653874,-0.037608654523342853,-0.002922261184587468,-0.04517345191830902,-0.3111190412386635,-0.041307532912660094,0.4939356936082154,-0.2110131918647702,-0.06914589165585296,-0.21645511543317933,-0.10066214353931821,2
159,0.035447821116502805,0.003403758726966875,-0.042728467588679625,-0.10215664410729444,-0.02786563305469457,-0.006403444295421821,0.04947704657578544,0.029936516406038373,-0.06133581253957731,0.04062453706173207,0.027749213108927823,0.021579745791784368,0.051146060592515245,-0.07176062867658808,-0.05928536171351241,-0.038533337063328475,-0.027302039779238604,-0.017957867866498795,-0.14273505674407755,-0.05632090275502305,2
186,0.20066634895155422,-0.06792878600859274,-0.11449544867287507,0.006527956329168075,0.0006019401134193984,-0.0044051532179454,0.19446770407839087,0.16190325892263613,0.2624214112366978,-0.03961142429341328,0.012026211533292567,0.1707471850771049,0.008959560250441647,-0.07084752841536152,0.15829480927161796,0.05287174429267341,-0.020698056016691984,-0.13996665619149126,-0.0034794154212681077,-0.1003249539681161,2
17,-0.058306787784205893,-0.028097538061311562,0.08160396399756645,-0.01460549608316765,0.015807823049648596,-0.02486896452023559,-0.05939643934216758,-0.021349010716873167,-0.009568224574171504,0.02541387575018584,0.03204808683957061,-0.06959530338636796,-0.011317833826681565,-0.1225943964903113,0.31245887335849626,-0.015520486852839065,-0.05640880376081951,0.12798382098446004,-0.1361565010873162,0.15082330312885528,1
44,-0.22309328136173087,0.42801132098694805,-0.2576291135539903,0.21328201522561938,0.02514395996150169,0.04518124908535764,-0.025272717525099887,-0.0004957848973542264,-0.07856677958017873,-0.056080137065106256,-0.10862796449799342,0.01067326403272106,-0.044622841211115837,0.03415356824076417,0.027917719300620092,0.018247367760364976,0.11768248973980028,0.02760195949753605,0.0004244139503891848,0.021826418830145522,1
74,-0.46754742802706684,-0.41673547741543787,-0.11330380429507499,0.08887088221173689,-0.140197862155558,0.03771356519123097,0.03210594164056087,0.019685753690169016,0.01463899020193936,-0.03854430333049437,-0.040936414711718966,-0.0032382464456186407,-0.007376405807932465,0.03138237174033701,-0.0889116038811217,-0.052993607872193704,0.04238429293035022,-0.019883818609181647,0.05447963782983555,-0.029386008280180714,1
58,-0.20601274121232507,-0.1136869354396329,-0.09317209846441485,-0.11641319945798229,0.6463922770020882,-0.17974237652446312,-0.23448570909603755,0.1439945412784809,0.10643450056653302,-0.09433376619787501,-0.03476209653048633,0.02476102127750577,-0.016351114961150246,-0.028611936902826124,-0.11453185117330814,-0.01084070227119157,-0.049451454531259445,0.031154391767211576,0.013656150455434883,0.0006033367466197141,1
