ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,Label
55,-0.051791138257624526,-0.00881874822717702,0.3539331420636842,0.10812590125286049,0.07251147950390158,0.08988124515969667,0.043516833018026696,0.1081901383483319,0.01067435870288199,0.1075065564386475,0.03195319471165532,-0.12755261824446132,0.047049664244743536,0.026015660843073895,0.10350593267536741,0.028904582246429215,-0.007290670299757081,0.016376748705184782,-0.09561098951988851,0.013694928773063315,0.10472501356407544,0.06421861238462552,0.02887311035384304,0.10443822656035219,-0.00481822535555176,0.0720370355463004,0.013058137880283354,0.05254403398186376,0.029307169659040025,0.020008038258681533,-0.03560365629630467,-0.018505821279746835,0.06969220372756058,-0.10676172454222427,0.02238957069358896,0.062006531675210697,-0.17360212048341184,-0.0853422005039189,0.03969327501436046,0.07307723559018486,-0.0819954822114546,-0.11981138743922877,0.019281694464338625,0.016203908571070496,-0.10410999384118201,0.08485679944812724,0.06479657500605188,-0.009553539839697082,-0.1401135466210793,-0.15329998336702716,1
176,0.06427204393657744,0.010200274266159211,-0.04237705244859237,-0.12941732411598128,-0.0835286681324385,-0.027145265215032358,-0.008021516153381557,0.020388434110942162,0.01849035872895176,-0.05131498629449915,0.006582413062664583,-0.09127104162121098,0.06344445704313331,0.011321699071218409,0.07092113120073495,-0.19040933367356994,-0.26214973609980585,0.050648040076513995,0.3400126318810113,-0.161140506388576,0.3407691802641676,0.11940216344853133,-0.10668181888598627,0.2086695445667211,-0.050499818600189254,-0.13924676714719358,-0.24266498901589478,-0.0015070593877665839,0.1549718272076074,-0.020693640054619756,0.002521951427123362,0.09553138879684155,-0.01952947898637018,0.035738736550361486,-0.12818042274897506,0.025061962148918232,-0.04020253934291154,-0.07477526625130775,-0.009191426997641491,-0.013260906287794057,0.06637602795696183,0.024806015424217714,0.017746568357960096,0.00399296338943394,-0.0081687701350569,0.032665913834439834,-0.024258835119932615,-0.02422839295679011,0.0037997095271802613,0.037137843964431,2
79,-0.12098130081370002,0.23751661364885474,-0.1020615359907787,0.15039605611533766,-0.01395488921908267,0.06429672361772998,0.04923675748045534,0.06977953801048464,0.04648883505887446,-0.05778144758063283,-0.0591092905389174,-0.001824687682165357,0.005287275499752065,0.00998963701587884,-0.034895732237785214,0.03474288749597283,-0.04433501275566336,0.0008349745616955423,-0.00431437355922355,0.0006036915273754962,0.031177993357308195,-0.20649409194926263,-0.17684558328133967,0.173819026895339,0.0992712558003345,-0.001907604467304019,0.011180163150482224,-0.0814605807236227,-0.0804859007637766,0.06839556364228665,0.0016969764214786675,-0.1910640709090085,0.15993191055643874,0.020456872634624985,-0.15518462711213826,0.11781458025087295,0.237395698230634,0.13007752320529192,-0.16974434597080074,0.12292631539907753,0.10594013206650174,-0.04442864044544918,-0.006807263526682362,0.028562974866450156,-0.013625785263312503,-0.0013788729411241495,0.05483170915515769,-0.05691839911711614,-0.09512548530392272,-0.03010088158162627,1
101,6.331437602487454e-05,-0.027038355035285393,-0.08957213417718389,-0.22073739730331085,0.07869006293112106,0.044313940053757994,0.270816423939657,0.05125872347360442,-0.4439253785057238,-0.030009935112350474,-0.046322979902367604,0.007967991857055148,-0.06537360911004225,-0.3496054734041117,0.2470219618390338,0.4428401111692053,-0.23956358257247062,0.18805239628893652,0.11748130394931251,0.016453260047771964,-0.06709924609331983,-0.04563402340539891,0.09848090683001147,-0.036650227846487124,-0.004269869969398308,0.03750166568006215,-0.012073892986039732,0.03948510992652856,-0.004249066643725217,-0.020174797172939733,0.04269742872067964,-0.0007901339785284404,-0.003026607874931646,0.021189991151105203,-0.020545878747062433,-0.0009087856610706048,0.03810028426613172,-0.024860850827794014,0.04171901953937161,-0.017686762221235296,0.0019049456288549949,0.004386631593617729,-0.010182296705576787,-0.044847184489731004,0.023088442967467485,0.01594461910018673,-0.034242627317427686,-0.02023199454033821,-0.00882109325955333,-0.016465995728758988,2
159,0.035579860154767676,0.004148706117156966,-0.04474922479276286,-0.10073529888749423,-0.023033794816491333,-0.009673087595605383,0.04776654294230171,0.039355854530917,-0.05160769904204118,0.031812821838902064,0.021416396670648354,0.0203977013826169,0.04234678117558434,-0.06070927209444108,-0.025753180876282727,-0.028836585485800825,-0.08517204714567317,0.08028529105906043,0.15598113620558224,-0.0042185031682001025,-0.07987273580512241,-0.023703457110954486,0.055923685983685294,-0.08163892704448322,0.008155820900877126,0.07452841168197279,-0.041090462382077746,-0.03356267065135311,-0.10786878345600842,-0.01934565142775644,-0.034904792873204776,-0.0720504977620787,-0.07395320873037982,0.01321342197530566,0.06975678817253061,0.01240007555798497,-0.06040975180630711,0.037387635021257894,-0.15358891256526352,-0.05869663737652542,-0.08770105246459926,0.03192273187160494,-0.13689155294978084,0.2364977637177646,-0.23200626246821363,-0.21136207385885547,0.1402603688002227,-0.05565976992441059,-0.17323014849103374,0.020231940890845103,2
186,0.20073008009456406,-0.0665738862988772,-0.11350054307733995,0.00304519195017929,-0.0029547875558328944,-0.010362756366197356,0.2024518582575481,0.11957463530297922,0.28299581085870107,-0.03680125920971957,0.023376481425109414,0.16184520755690351,0.018249340512950688,-0.029591135823510036,0.17766945537812676,-0.06368600007458848,0.001414319129358228,0.0826723974796505,-0.08359457079811394,0.046802971767016414,0.05244058285678734,0.03843670674379001,0.06823229157651933,-0.06139379881622827,-0.045704985913868464,0.0154021524990493,0.0177400921386473,-0.04950748015846788,0.010552031661224336,-0.023334090361485652,0.05799073477391479,0.1355922486252595,-0.062494634200879286,0.0709141180806497,-0.012556710792703334,-0.01978674369284749,0.07756096141994805,-0.016732015727328884,0.07204376569933046,0.1491443809556085,0.04574406054975701,-0.03222984133897041,0.03484000504406736,-0.013968278325053506,-0.10604544693078444,0.09218350584770561,-0.04147658172828667,0.06282771741576851,0.0680096698805625,0.026188143986957242,2
17,-0.05719003263880088,-0.029547914565803798,0.08345138990131352,-0.013573733775731596,0.021937358912430285,-0.028373816194521537,-0.035246565485629676,-0.015880121331557973,-0.0033353861873018135,0.0010302620782372172,0.0013148739443518789,-0.09571481400343698,0.007179265860855177,-0.039409802842332496,0.27868809864065275,-0.16803803999888417,-0.0002304295423344057,-0.2551204447562564,-0.03527500246158358,-0.1342109083051322,-0.17656924614034372,-0.15885059067860596,0.26774040663195664,-0.17059646146779647,0.2258708641699683,-0.20691142728244058,-0.22052394912934725,-0.19702520623360614,0.11488488100024043,-0.11923245342860171,-0.10209471300041613,-0.045791075045560195,0.08362642356025678,-0.08663617528316188,0.08437078062065902,-0.07120316822833936,-0.005627476321341603,0.0323327534067982,-0.0007079968319040409,0.025291527313171604,0.03476514044285932,-0.06559867699289727,0.003443218660448025,0.015706844671683946,-0.020817175839994446,-0.022440460761965257,0.0006648522099684726,-0.013047046087644855,-0.0001418923780750458,-0.0433737431872686,1
44,-0.22318203499638786,0.42849838686153985,-0.2574083643803234,0.21224486702962184,0.025068184566052337,0.04578622295585134,-0.024631507284387122,0.013530568486112839,-0.08073000858343554,-0.04794912259205041,-0.10612189885780175,0.006523506764040003,-0.04007449561498801,0.04857483685172794,0.04590230677361735,0.008958166390374606,0.10086114335075377,0.029050833944842865,0.008584621682032305,-0.017420966991925538,-0.01219953942303081,0.1880860744099489,0.10136290089725176,-0.02897759338630689,-0.028537994446876207,-0.051426579906912975,-0.07081064487247642,0.07678070792765443,-0.011078303546827319,-0.025305832856771987,0.039251185661919555,-0.025006037584206012,0.029184461668055703,0.002676493747039083,-0.03581716452842723,-0.018267271883976203,-0.0005471128365441303,0.029303508549393956,-0.007701198657344112,0.04941974301277413,0.0018859238606294777,0.06797071886106426,0.003142456361950751,0.015917485949552564,0.04701791028458559,0.021434630076143768,0.03694781971921141,0.02565098310444861,0.0030352707397706125,-0.11593389132142515,1
74,-0.46746960182511615,-0.4168108730419019,-0.11428502492515187,0.08715140119337939,-0.13882609810989774,0.036369314168277884,0.02669762111304769,0.016742734133601014,0.02129217309609121,-0.033686456059412694,-0.04325930834985134,0.016730425867581448,-0.011329550274639694,0.036574114902055324,-0.09146938486672698,-0.011215317343377773,0.020490811266271534,0.008957746082093605,0.003111094592476439,0.025167333131790596,0.013225242911434863,0.023957351160421393,-0.06124195211071111,0.014611633762311638,0.014520519500430911,0.03398099185610901,0.011652913393437594,0.011059993451620677,0.022905491686589806,0.006879000160226779,0.01323763823631955,-0.04238532933114034,-0.0428211884319595,-0.020579502618567204,0.004078427610819565,0.13312923398014173,0.048888629665562816,-0.0324493944261804,0.0710908112438917,0.008190604278655731,-0.0478589111711755,0.07821311539564128,-0.04220443011760976,0.063022334387245,-0.03276516693796239,0.015130212772106614,-0.035015560658172386,-0.007344156750092411,0.012422237375611132,-0.02716341720729978,1
58,-0.20610629927102275,-0.11415887061649893,-0.09375467888018627,-0.1151867841035475,0.6480707897721149,-0.16841044881695338,-0.235498892785375,0.12219140683179393,0.131250038159693,-0.09191528563377836,-0.03267195470691931,0.02848651473221105,-0.020413029921415925,-0.04833086290987519,-0.12603567070843957,0.0279015600739458,-0.04570679566377841,0.007134885618344266,0.026144640740942096,0.03273596085693809,0.0283876650581119,0.03482081383390677,0.028132350996211777,0.009977003353317804,0.01612624128618456,-0.00933770391176572,-0.012005799439328167,-0.016123798802261346,-0.09070634459477965,-0.020540460280877405,-0.04965255708012406,0.11059433409621344,0.01710779917851469,-0.14526070092017576,-0.050265667728777365,-0.02952106729537749,0.034309905750096834,-0.02763395387864359,-0.007900921598167921,0.002522023625291895,0.000983562286751558,0.00516960527852611,-0.0052172636371472,0.013696379477854717,-0.012309720671810175,0.01256844289968007,-0.0198077070562014,-0.013375581286655114,-0.009155437413209773,-0.01936781169699085,1
76,-0.027134195922124044,0.1617672466025242,-0.05029781163234777,0.06602507092996213,-0.05794943784109973,-0.030563961445946176,-0.01099515551231277,-0.06203373407193043,-0.036680475419999296,-0.1208757345013847,-0.05149537841680849,0.0324710283801837,-0.017021518905523097,0.011794559454687785,-0.001328182477800677,-0.03313619393725787,0.06287914993559995,0.018788177537135044,0.06647314142248714,0.08195235964789292,-0.09527097847056841,0.22204559701925236,0.03758959529153293,-0.09934618456850329,-0.06368019724337544,0.03336320644827262,0.012761306644619401,-0.022644868284234468,-0.06801355037222295,0.10091737964393514,-0.05612884275365099,0.003173336851356329,0.09822886389789702,-0.04980132012262185,-0.05981030561032397,0.0403193106240675,-0.012318481680305957,0.046708811113481664,0.03866509289504096,0.05986418139023805,0.08205978146971654,-0.160567466863502,0.04029091460196469,-0.16447886880708626,-0.16462329435537806,0.060955282475874305,-0.0176163100382426,0.08178328672142354,-0.029640964255925193,-0.009962417962472811,1
28,-0.06112848040384251,0.052481409703100675,0.2745859630941987,0.10294852843929915,0.060395662757340984,0.08768755733764796,0.026066663867237168,0.07841962176347575,0.010872504991620721,0.059839564268839227,-0.01525658985433563,-0.059459198000778216,0.02430507751997245,0.02040129744422544,0.14235806827748396,-0.055024501277778075,0.016718520436521146,-0.018723964418187827,-0.008591147399505514,-0.01549790001554421,-0.07034362590142011,-0.02849053225677055,-0.17987138063153454,0.1537681473299161,-0.034789544732240905,0.09121680346184122,0.028861781663393576,-0.009031502474191898,-0.05873406241669225,0.015009419805775193,0.047753313764935024,0.02392564852780165,0.014358604959310534,0.053670523780726495,0.02016278925629221,-0.10407047841178524,-0.04836140332753588,0.01195251862263877,0.03168194859691329,-0.022920395061253748,0.09864295989094572,-0.016505159474240805,0.0331947584236077,-0.06552576608751463,-0.0036411229370164754,0.018326111859232788,-0.02841075494284008,-0.1381419009556587,-0.037747844858410096,-0.019927301660571526,1
102,0.08460571558134439,-0.021127510621800034,-0.015957575280131506,-0.08404724686074086,-0.036135001905825435,-0.10647788002968021,-0.024478793373117855,-0.1902580569051957,0.03112823848241394,-0.2354657153136614,0.1710190342527241,-0.2546497934187034,-0.08359491313464487,-0.03506487337692273,0.013752645183199689,-0.004793298721392791,0.3489080571526461,0.36281899723001565,-0.053650524973970465,0.14218888071157107,-0.03270563857628055,-0.10213220603267889,0.08673203982869498,0.1858350533188376,0.1091916880629984,-0.03320200297146747,-0.15251818683923576,-0.05182479321269786,-0.03937695759419286,0.04076526695275039,0.05929597196794915,0.08124540211473699,-3.182526274205374e-05,0.016317031940834937,0.034559127439325696,0.05870663409878143,-0.03219235261245471,0.032434053177361664,0.0294784639147779,0.004982229881708357,0.060247289420933214,0.021897578532357593,0.0457264931152,0.0074538099696587114,-0.00514416644438803,-0.039732157361457035,-0.0015313979060621583,-0.06395521811558884,-0.004290964406837487,0.02698223174762098,2
